id,label
1,Akondo
2,Akondo
3,Akondo
4,Akondo
5,Akondo
6,Akondo
7,Akondo
8,Akondo
9,Akondo
10,Akondo
11,Akondo
12,Akondo
13,Akondo
14,Akondo
15,Akondo
16,Akondo
17,Akondo
18,Akondo
19,Akondo
20,Akondo
21,Akondo
22,Akondo
23,Akondo
24,Akondo
25,Akondo
26,Akondo
27,Akondo
28,Akondo
29,Akondo
30,Akondo
31,Akondo
32,Akondo
33,Akondo
34,Akondo
35,Akondo
36,Akondo
37,Akondo
38,Akondo
39,Akondo
40,Akondo
41,Akondo
42,Akondo
43,Akondo
44,Akondo
45,Akondo
46,Akondo
47,Akondo
48,Akondo
49,Akondo
50,Akondo
51,Akondo
52,Akondo
53,Akondo
54,Akondo
55,Akondo
56,Akondo
57,Akondo
58,Akondo
59,Akondo
60,Akondo
61,Akondo
62,Akondo
63,Akondo
64,Akondo
65,Akondo
66,Akondo
67,Akondo
68,Akondo
69,Akondo
70,Akondo
71,Akondo
72,Akondo
73,Akondo
74,Akondo
75,Akondo
76,Akondo
77,Akondo
78,Akondo
79,Akondo
80,Akondo
81,Akondo
82,Akondo
83,Akondo
84,Akondo
85,Akondo
86,Akondo
87,Akondo
88,Akondo
89,Akondo
90,Akondo
91,Akondo
92,Akondo
93,Akondo
94,Akondo
95,Akondo
96,Akondo
97,Akondo
98,Akondo
99,Akondo
100,Akondo
101,Akondo
102,Akondo
103,Akondo
104,Akondo
105,Akondo
106,Akondo
107,Akondo
108,Akondo
109,Akondo
110,Akondo
111,Akondo
112,Akondo
113,Akondo
114,Akondo
115,Akondo
116,Akondo
117,Akondo
118,Akondo
119,Akondo
120,Akondo
121,Akondo
122,Akondo
123,Akondo
124,Akondo
125,Akondo
126,Akondo
127,Akondo
128,Akondo
129,Akondo
130,Akondo
131,Akondo
132,Akondo
133,Akondo
134,Akondo
135,Akondo
136,Akondo
137,Akondo
138,Akondo
139,Akondo
140,Akondo
141,Akondo
142,Akondo
143,Akondo
